,Unnamed: 0,first_name,last_name,nick_name,height,weight,reach,stance,wins,losses,draws,fighter_url,full_name,SLpM,Str_Acc,SApM,Str_Dep,TD_Avg,TD_Acc,TD_Def,Sub_Avg
16,16,Mariya,Agapova,,"5' 8""",125 lbs.,--,Southpaw,6,1,0,http://ufcstats.com/fighter-details/a08ddd04eaffd81d,Mariya Agapova,2.60,48%,4.40,47%,0.00,0%,42%,0.0
17,17,Marcelo,Aguiar,,"5' 10""",170 lbs.,--,Orthodox,2,3,1,http://ufcstats.com/fighter-details/44aa652b181bcf68,Marcelo Aguiar,0.00,0%,0.00,0%,0.00,0%,0%,0.0
18,18,Edwin,Aguilar,Tigre,"5' 10""",185 lbs.,--,,22,16,0,http://ufcstats.com/fighter-details/6cadc0a0ba7dc015,Edwin Aguilar,0.00,0%,0.00,0%,0.00,0%,0%,0.0
19,19,Jessica,Aguilar,Jag,"5' 3""",115 lbs.,"63.0""",Orthodox,20,8,0,http://ufcstats.com/fighter-details/8f382b3baa954d2a,Jessica Aguilar,4.93,50%,7.19,53%,0.94,25%,50%,0.2
20,20,Kevin,Aguilar,Angel of Death,"5' 7""",145 lbs.,"73.0""",Orthodox,17,2,0,http://ufcstats.com/fighter-details/cf946e03ba2e7666,Kevin Aguilar,3.78,36%,4.22,54%,0.25,50%,86%,0.0
21,21,Mike,Aina,Iron,"5' 9""",155 lbs.,--,Orthodox,12,6,1,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,Mike Aina,2.87,33%,6.33,59%,0.00,0%,71%,0.0
22,22,Hitomi,Akano,Girlfight Monster,"5' 4""",135 lbs.,--,Southpaw,18,8,0,http://ufcstats.com/fighter-details/2eada40ac8801559,Hitomi Akano,0.59,45%,2.58,55%,0.00,0%,8%,0.5
23,23,Omari,Akhmedov,Wolverine,"6' 0""",185 lbs.,"73.0""",Orthodox,18,4,1,http://ufcstats.com/fighter-details/16690d100f995f8f,Omari Akhmedov,3.07,34%,2.89,57%,2.51,48%,58%,0.3
24,24,Yoshihiro,Akiyama,,"5' 10""",170 lbs.,"73.0""",Orthodox,14,6,0,http://ufcstats.com/fighter-details/b0550072e5f0afa7,Yoshihiro Akiyama,3.10,41%,3.62,57%,2.29,67%,92%,1.0
25,25,Rostem,Akman,Kurdimus Prime,"5' 10""",170 lbs.,"72.0""",Switch,6,1,0,http://ufcstats.com/fighter-details/1fc64507a0cb38cf,Rostem Akman,2.60,39%,4.00,59%,2.00,40%,83%,0.0
26,26,Razak,Al-Hassan,,"6' 2""",205 lbs.,--,Orthodox,11,5,0,http://ufcstats.com/fighter-details/38b50fd1e1b5b656,Razak Al-Hassan,3.27,39%,3.14,60%,0.65,14%,57%,0.0
27,27,Mostapha,Al-Turk,,"6' 2""",245 lbs.,"77.0""",Orthodox,6,6,0,http://ufcstats.com/fighter-details/1cf1310684a841f5,Mostapha Al-Turk,1.36,19%,3.61,53%,0.00,0%,0%,0.0
28,28,Herdem,Alacabek,,"6' 2""",205 lbs.,"75.0""",Orthodox,5,1,0,http://ufcstats.com/fighter-details/7578cc6bd750206b,Herdem Alacabek,3.84,65%,6.66,23%,2.06,50%,42%,0.0
29,29,Javi,Alanis,,"5' 6""",135 lbs.,--,,0,3,0,http://ufcstats.com/fighter-details/2144954270be834d,Javi Alanis,0.00,0%,0.00,0%,0.00,0%,0%,0.0
30,30,Heili,Alateng,The Mongolian Knight,"5' 5""",135 lbs.,"66.0""",Orthodox,13,7,1,http://ufcstats.com/fighter-details/1897b7b913736a7c,Heili Alateng,2.40,40%,5.67,63%,3.00,42%,100%,0.0
31,31,Brett,Albee,,--,225 lbs.,--,,3,1,0,http://ufcstats.com/fighter-details/9b28292abe3166d5,Brett Albee,0.00,0%,0.00,0%,0.00,0%,0%,0.0
32,32,John,Albert,Prince,"5' 8""",135 lbs.,"68.0""",,7,5,0,http://ufcstats.com/fighter-details/7bd94b60d7521e4a,John Albert,3.05,49%,2.82,35%,0.00,0%,50%,6.1
33,33,Junior,Albini,Baby,"6' 3""",264 lbs.,"74.0""",Orthodox,14,6,0,http://ufcstats.com/fighter-details/c482c8605455a213,Junior Albini,3.98,51%,6.08,52%,1.54,37%,100%,0.0
34,34,Wes,Albritton,,"5' 10""",188 lbs.,--,Orthodox,0,1,0,http://ufcstats.com/fighter-details/184b955181bdef52,Wes Albritton,0.00,0%,0.00,0%,0.00,0%,0%,0.0
35,35,Alexandra,Albu,Stitch,"5' 2""",115 lbs.,"63.0""",Orthodox,7,1,0,http://ufcstats.com/fighter-details/e76d9f656ceb82ab,Alexandra Albu,5.13,50%,4.92,41%,3.05,55%,75%,0.6
36,36,Israel,Albuquerque,,--,185 lbs.,--,Orthodox,0,3,0,http://ufcstats.com/fighter-details/dd1b90eea08887f6,Israel Albuquerque,0.32,13%,3.34,25%,0.00,0%,0%,0.0
37,37,Juan,Alcain,,--,--,--,,1,2,0,http://ufcstats.com/fighter-details/39f62b833e4cf126,Juan Alcain,0.00,0%,0.00,0%,0.00,0%,0%,0.0
38,38,Iuri,Alcantara,Marajo,"5' 9""",135 lbs.,"71.0""",Southpaw,35,10,0,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad,Iuri Alcantara,2.72,45%,2.79,49%,1.44,62%,60%,0.8
39,39,Ildemar,Alcantara,Marajo,"6' 2""",185 lbs.,"78.0""",Orthodox,21,8,0,http://ufcstats.com/fighter-details/7c6e87729e824ef4,Ildemar Alcantara,1.93,38%,2.63,50%,2.00,68%,81%,0.9
40,40,Alfonso,Alcarez,,"5' 3""",145 lbs.,--,,1,3,1,http://ufcstats.com/fighter-details/1e38bba6738b7b10,Alfonso Alcarez,0.00,0%,0.00,0%,0.00,0%,0%,0.0
41,41,Gilbert,Aldana,El Peligro,"6' 1""",250 lbs.,--,Orthodox,6,2,0,http://ufcstats.com/fighter-details/d26934530dc5b248,Gilbert Aldana,2.91,54%,6.26,26%,2.57,40%,33%,0.0
42,42,Irene,Aldana,,"5' 9""",135 lbs.,"68.0""",Orthodox,10,5,0,http://ufcstats.com/fighter-details/578ef12674df1e6a,Irene Aldana,5.84,39%,6.26,61%,0.34,50%,93%,0.2
43,43,Hector,Aldana,El Charro,"5' 11""",170 lbs.,"72.0""",Orthodox,4,3,0,http://ufcstats.com/fighter-details/c487223b0289bda9,Hector Aldana,4.36,41%,5.21,62%,1.21,100%,0%,0.0
44,44,Jose,Aldo,,"5' 7""",145 lbs.,"70.0""",Orthodox,28,5,0,http://ufcstats.com/fighter-details/d0f3959b4a9747e6,Jose Aldo,3.45,44%,3.14,65%,0.67,65%,92%,0.2
45,45,JJ,Aldrich,,"5' 5""",125 lbs.,"67.0""",Southpaw,7,3,0,http://ufcstats.com/fighter-details/6fd953151d981979,JJ Aldrich,3.65,38%,4.22,61%,0.22,16%,58%,0.0
46,46,Jim,Alers,The Beast,"5' 9""",145 lbs.,"71.0""",Orthodox,13,3,0,http://ufcstats.com/fighter-details/fe5a9547479396ab,Jim Alers,2.90,40%,4.38,56%,2.26,41%,80%,0.3
47,47,John,Alessio,The Natural,"5' 10""",155 lbs.,"72.0""",Orthodox,34,16,0,http://ufcstats.com/fighter-details/7a15f3694c5cbc02,John Alessio,1.87,35%,2.46,57%,1.78,36%,72%,1.0
48,48,Houston,Alexander,The Assassin,"6' 0""",205 lbs.,"72.0""",Orthodox,13,8,1,http://ufcstats.com/fighter-details/0541480fbf719d86,Houston Alexander,3.06,54%,3.20,52%,1.19,57%,33%,0.0
49,49,Kenneth,Alexander,The Machine,"5' 9""",155 lbs.,--,Orthodox,5,5,0,http://ufcstats.com/fighter-details/8fd76e1b49c00ae2,Kenneth Alexander,0.88,19%,2.20,66%,4.71,26%,0%,0.0
50,50,Marcio,Alexandre Junior,Lyoto,"6' 0""",185 lbs.,"75.0""",Southpaw,17,4,0,http://ufcstats.com/fighter-details/d53482bef23235ba,Marcio Alexandre Junior,1.61,45%,2.89,42%,0.35,20%,66%,0.7
51,51,Olaf,Alfonso,,"6' 2""",170 lbs.,--,Orthodox,8,11,0,http://ufcstats.com/fighter-details/b757c73f443d4fca,Olaf Alfonso,0.74,26%,5.33,37%,0.00,0%,22%,0.6
52,52,Pablo,Alfonso,The Hurricane,"5' 8""",145 lbs.,--,,6,5,0,http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1,Pablo Alfonso,0.00,0%,0.00,0%,0.00,0%,0%,0.0
53,53,Levi,Alford,,--,--,--,,1,4,0,http://ufcstats.com/fighter-details/41b34b7f11f6d085,Levi Alford,0.00,0%,0.00,0%,0.00,0%,0%,0.0
54,54,Bill,Algeo,Senor Perfecto,"6' 0""",145 lbs.,"73.0""",Switch,12,3,0,http://ufcstats.com/fighter-details/9abc648e76c4493a,Bill Algeo,9.80,53%,7.47,36%,0.00,0%,62%,0.0
55,55,Royce,Alger,,"5' 10""",199 lbs.,--,Orthodox,3,2,0,http://ufcstats.com/fighter-details/669a3cb6e394f515,Royce Alger,0.00,0%,0.00,0%,0.00,0%,0%,0.0
56,56,Amir,Aliakbari,,"6' 3""",250 lbs.,--,,10,1,0,http://ufcstats.com/fighter-details/e17770faae3ca54c,Amir Aliakbari,0.00,0%,0.00,0%,0.00,0%,0%,0.0
57,57,Sultan,Aliev,,"5' 11""",170 lbs.,"74.0""",Orthodox,15,3,0,http://ufcstats.com/fighter-details/e70de1859b7ee78e,Sultan Aliev,1.41,45%,2.20,56%,1.76,38%,100%,0.0
58,58,John,Allan,,"6' 3""",205 lbs.,"75.0""",Orthodox,14,5,0,http://ufcstats.com/fighter-details/6ebe96a116e79e52,John Allan,3.59,48%,4.39,51%,2.54,66%,57%,1.9
59,59,George,Allen,,"6' 2""",205 lbs.,--,Open Stance,13,19,2,http://ufcstats.com/fighter-details/1e13936d708bcff7,George Allen,0.80,38%,3.10,43%,0.00,0%,50%,0.0
60,60,Arnold,Allen,Almighty,"5' 8""",145 lbs.,"70.0""",Southpaw,15,1,0,http://ufcstats.com/fighter-details/040a74bb0a465c54,Arnold Allen,3.01,39%,1.78,66%,1.60,56%,70%,0.5
61,61,Brendan,Allen,All In,"6' 2""",185 lbs.,"75.0""",Orthodox,11,3,0,http://ufcstats.com/fighter-details/2f181c0467965b98,Brendan Allen,4.14,60%,6.21,16%,4.43,25%,100%,4.4
62,62,Benny,Alloway,Blanco,"5' 11""",170 lbs.,"75.0""",Orthodox,13,6,0,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,Benny Alloway,1.28,49%,1.90,59%,0.62,50%,26%,0.0
63,63,Ricardo,Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13,5,0,http://ufcstats.com/fighter-details/91186547a7f3f758,Ricardo Almeida,2.02,49%,1.20,61%,3.74,38%,31%,1.2
64,64,Magno,Almeida,,"6' 0""",155 lbs.,--,,9,3,0,http://ufcstats.com/fighter-details/d615d6a10a4704cd,Magno Almeida,1.67,36%,2.60,41%,0.00,0%,40%,5.0
65,65,Thomas,Almeida,Thominhas,"5' 7""",135 lbs.,"70.0""",Southpaw,22,3,0,http://ufcstats.com/fighter-details/2b074403b7c6cdb4,Thomas Almeida,5.66,45%,4.65,64%,0.00,0%,75%,0.0
66,66,Ericka,Almeida,,"5' 6""",115 lbs.,"68.0""",,7,2,0,http://ufcstats.com/fighter-details/67a992d4cff22466,Ericka Almeida,1.07,39%,3.33,43%,0.50,33%,37%,0.0
67,67,Estefani,Almeida,,"5' 4""",125 lbs.,--,Orthodox,7,2,0,http://ufcstats.com/fighter-details/f16ddfa31236efed,Estefani Almeida,3.13,37%,6.07,42%,0.00,0%,0%,0.0
68,68,Mauricio,Alonso,,"6' 2""",170 lbs.,--,,13,7,0,http://ufcstats.com/fighter-details/c6bf75775b278ed8,Mauricio Alonso,5.74,34%,1.91,67%,0.00,0%,0%,0.0
69,69,Sarah,Alpar,Too Sweet,"5' 4""",135 lbs.,--,Southpaw,8,4,0,http://ufcstats.com/fighter-details/49b130de1da2e1bf,Sarah Alpar,4.42,61%,3.79,40%,3.79,66%,100%,1.9
70,70,Rico,Altamirano,,"5' 10""",170 lbs.,--,,3,2,0,http://ufcstats.com/fighter-details/c61b49cec6abd6b9,Rico Altamirano,0.00,0%,0.00,0%,0.00,0%,0%,0.0
71,71,Mike,Altman,,"5' 10""",185 lbs.,--,Orthodox,1,4,0,http://ufcstats.com/fighter-details/c11036da9162cb5f,Mike Altman,1.56,20%,2.08,75%,0.00,0%,0%,0.0
72,72,Sean,Alvarez,,"6' 0""",235 lbs.,--,Orthodox,4,3,0,http://ufcstats.com/fighter-details/e741536153227386,Sean Alvarez,0.89,37%,3.25,47%,0.00,0%,0%,0.0
73,73,Eddie,Alvarez,The Underground King,"5' 9""",155 lbs.,"69.0""",Orthodox,29,6,0,http://ufcstats.com/fighter-details/33a331684283900f,Eddie Alvarez,4.32,41%,4.39,55%,2.92,36%,92%,0.5
74,74,Jaime,Alvarez,,"5' 8""",125 lbs.,"69.0""",Orthodox,6,1,0,http://ufcstats.com/fighter-details/4438482bd1d5a029,Jaime Alvarez,2.73,40%,4.53,56%,1.00,33%,50%,0.0
75,75,Joel,Alvarez,El Fenomeno,"6' 3""",155 lbs.,"77.0""",Orthodox,16,2,0,http://ufcstats.com/fighter-details/58bbef3770bb2dfc,Joel Alvarez,2.55,33%,3.44,54%,0.00,0%,0%,0.0
76,76,Thiago,Alves,Pitbull,"5' 9""",170 lbs.,"70.0""",Orthodox,28,14,0,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f,Thiago Alves,3.72,41%,3.37,62%,0.71,60%,62%,0.3
77,77,Anthony,Alves,,--,--,--,,1,3,0,http://ufcstats.com/fighter-details/bd92cf5da5413d2a,Anthony Alves,0.00,0%,0.00,0%,0.00,0%,0%,0.0
78,78,Amilcar,Alves,,"6' 0""",170 lbs.,--,Southpaw,11,4,0,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc,Amilcar Alves,0.50,46%,2.02,30%,0.00,0%,53%,0.0
79,79,Warlley,Alves,,"5' 11""",170 lbs.,"72.0""",Orthodox,14,3,0,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f,Warlley Alves,3.16,46%,3.75,51%,1.06,44%,80%,0.8
80,80,Vinicius,Moreira,Mamute,"6' 4""",205 lbs.,"76.0""",Orthodox,9,3,0,http://ufcstats.com/fighter-details/acb36c908d415c4a,Vinicius Moreira,3.38,61%,5.32,38%,3.24,18%,0%,2.2
81,81,Sam,Alvey,Smile'N,"6' 2""",205 lbs.,"75.0""",Southpaw,33,13,0,http://ufcstats.com/fighter-details/d156513a19acf856,Sam Alvey,3.05,44%,3.20,55%,0.09,16%,82%,0.1
82,82,Andre,Amado,Dida,"6' 0""",154 lbs.,--,Orthodox,6,4,1,http://ufcstats.com/fighter-details/20821819c401ced8,Andre Amado,2.27,24%,5.91,63%,0.00,0%,20%,0.0
83,83,Adlan,Amagov,Borz,"6' 2""",170 lbs.,"76.0""",Orthodox,13,2,1,http://ufcstats.com/fighter-details/1e327b281ef6a745,Adlan Amagov,3.29,47%,0.82,78%,5.84,56%,100%,0.0
84,84,Maiara,Amanajas dos Santos,,"5' 5""",115 lbs.,--,Southpaw,7,3,0,http://ufcstats.com/fighter-details/247fbbfafea60bb1,Maiara Amanajas dos Santos,5.53,35%,24.47,33%,0.00,0%,100%,0.0
85,85,Chris,Amarante,,--,185 lbs.,--,,2,0,0,http://ufcstats.com/fighter-details/ee0b69e307c857e5,Chris Amarante,0.00,0%,0.00,0%,0.00,0%,0%,0.0
86,86,Jimmy,Ambriz,The Titan,"6' 2""",315 lbs.,--,Southpaw,15,18,1,http://ufcstats.com/fighter-details/c912f676692c353a,Jimmy Ambriz,0.83,29%,3.76,40%,3.13,57%,100%,0.8
87,87,JJ,Ambrose,,"5' 10""",170 lbs.,--,Orthodox,17,3,0,http://ufcstats.com/fighter-details/d562b12b8fe88336,JJ Ambrose,3.16,69%,6.32,33%,0.00,0%,50%,0.0
88,88,Alen,Amedovski,,"5' 10""",185 lbs.,"74.0""",Orthodox,8,1,0,http://ufcstats.com/fighter-details/70fa1c64a2c439ef,Alen Amedovski,0.40,35%,2.87,37%,0.00,0%,0%,0.0
89,89,Makwan,Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72.0""",Southpaw,15,3,0,http://ufcstats.com/fighter-details/87a1dc546b1c5caf,Makwan Amirkhani,1.62,47%,1.62,61%,3.47,48%,57%,1.6
90,90,Bertrand,Amoussou,,"5' 8""",190 lbs.,--,Orthodox,1,1,0,http://ufcstats.com/fighter-details/53adf5b845d91e4a,Bertrand Amoussou,6.75,39%,2.01,83%,0.00,0%,0%,0.0
91,91,Karl,Amoussou,The Psycho,"5' 11""",185 lbs.,--,Orthodox,12,4,2,http://ufcstats.com/fighter-details/23a8c33869bf5392,Karl Amoussou,1.47,34%,2.67,54%,0.00,0%,25%,1.0
92,92,Eryk,Anders,Ya Boi,"6' 1""",205 lbs.,"75.0""",Southpaw,12,4,0,http://ufcstats.com/fighter-details/cad24459b28592ca,Eryk Anders,2.89,48%,4.06,49%,1.73,40%,75%,0.1
93,93,Matt,Andersen,,"6' 2""",230 lbs.,--,Southpaw,14,8,1,http://ufcstats.com/fighter-details/8738eacd62e82a32,Matt Andersen,0.00,0%,0.00,0%,0.00,0%,0%,0.0
94,94,Andy,Anderson,The Hammer,"5' 6""",240 lbs.,--,,0,1,0,http://ufcstats.com/fighter-details/9199e0735b83dd32,Andy Anderson,0.00,0%,0.00,0%,0.00,0%,0%,0.0
95,95,Lowell,Anderson,,"5' 6""",160 lbs.,--,Orthodox,0,1,0,http://ufcstats.com/fighter-details/1ffc38f67785797b,Lowell Anderson,0.00,0%,0.00,0%,0.00,0%,0%,0.0
96,96,Corey,Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",Orthodox,13,4,0,http://ufcstats.com/fighter-details/5e4eec08896c9423,Corey Anderson,4.37,46%,2.20,59%,4.96,50%,83%,0.0
97,97,Derek,Anderson,Barbaric,"6' 0""",155 lbs.,--,,14,3,0,http://ufcstats.com/fighter-details/19ba965651486013,Derek Anderson,3.97,37%,3.08,61%,0.34,14%,60%,0.0
98,98,Megan,Anderson,,"6' 0""",145 lbs.,"72.0""",Orthodox,9,4,0,http://ufcstats.com/fighter-details/a0e75f4a13eb73f1,Megan Anderson,1.65,43%,3.71,33%,0.00,0%,50%,0.0
99,99,Alex,Andrade,El Toro,"5' 11""",200 lbs.,--,Orthodox,10,5,0,http://ufcstats.com/fighter-details/1562b12763cc8d67,Alex Andrade,0.20,36%,2.60,53%,0.00,0%,25%,0.8
100,100,Jessica,Andrade,Bate Estaca,"5' 1""",115 lbs.,"62.0""",Orthodox,20,7,0,http://ufcstats.com/fighter-details/6a1901c62ab3870f,Jessica Andrade,6.55,51%,5.28,51%,3.21,58%,76%,0.5
101,101,Viscardi,Andrade,,"5' 11""",170 lbs.,"75.0""",Orthodox,19,7,0,http://ufcstats.com/fighter-details/d221ee27afc7a60e,Viscardi Andrade,3.26,42%,2.77,63%,1.93,50%,66%,0.3
102,102,Jermaine,Andre,,"5' 7""",200 lbs.,--,Orthodox,14,4,0,http://ufcstats.com/fighter-details/9bad58fa651d6196,Jermaine Andre,0.00,0%,0.00,0%,0.00,0%,0%,0.0
103,103,Dylan,Andrews,The Villain,"6' 1""",185 lbs.,"73.0""",Switch,18,8,0,http://ufcstats.com/fighter-details/00debc804e2b1cd4,Dylan Andrews,2.21,50%,2.72,46%,2.83,50%,57%,0.4
104,104,Reese,Andy,Riptide,"6' 0""",205 lbs.,--,Orthodox,7,3,0,http://ufcstats.com/fighter-details/46e2ca71fd5089cb,Reese Andy,2.87,50%,3.50,58%,0.67,20%,40%,0.0
105,105,Julius,Anglickas,,"6' 3""",205 lbs.,--,Orthodox,6,1,0,http://ufcstats.com/fighter-details/e20ad078a7d63361,Julius Anglickas,4.62,78%,1.86,50%,4.47,50%,60%,1.1
106,106,Yoji,Anjo,Mr. 200%,"5' 11""",205 lbs.,--,Orthodox,0,5,1,http://ufcstats.com/fighter-details/e06fd1260ac865a7,Yoji Anjo,0.00,0%,3.13,25%,0.00,0%,0%,0.0
107,107,Magomed,Ankalaev,,"6' 3""",205 lbs.,"75.0""",Orthodox,11,1,0,http://ufcstats.com/fighter-details/d802174b0c0c1f4e,Magomed Ankalaev,3.05,53%,1.33,67%,0.45,33%,83%,0.0
108,108,Nina,Ansaroff,The Strina,"5' 5""",115 lbs.,"64.0""",Orthodox,10,6,0,http://ufcstats.com/fighter-details/d343df8ba11f4c4e,Nina Ansaroff,4.81,47%,3.55,54%,0.29,40%,77%,0.6
109,109,Gadzhimurad,Antigulov,,"5' 11""",205 lbs.,"70.0""",Orthodox,20,6,0,http://ufcstats.com/fighter-details/af997f7611673880,Gadzhimurad Antigulov,2.32,51%,5.92,21%,8.70,41%,0%,3.5
110,110,Adam,Antolin,Captain Chaos,"5' 5""",125 lbs.,"63.0""",Orthodox,12,3,0,http://ufcstats.com/fighter-details/25b31165758402dd,Adam Antolin,5.73,52%,5.00,69%,0.00,0%,100%,0.0
111,111,Angelo,Antonio,,--,205 lbs.,--,Orthodox,1,3,0,http://ufcstats.com/fighter-details/dbd198f780286aca,Angelo Antonio,1.09,50%,7.64,50%,0.00,0%,0%,0.0
112,112,Zu,Anyanwu,8th Wonder,"6' 1""",251 lbs.,"77.0""",Orthodox,14,5,0,http://ufcstats.com/fighter-details/78d48d3874dacafd,Zu Anyanwu,2.47,42%,2.47,69%,0.65,100%,0%,0.0
113,113,Shinsho,Anzai,Animal,"5' 7""",170 lbs.,"70.0""",Orthodox,10,3,0,http://ufcstats.com/fighter-details/4665f9f909cd7214,Shinsho Anzai,3.23,58%,3.75,45%,1.83,16%,75%,0.0
114,114,Shinya,Aoki,Tobikan Judan,"5' 11""",154 lbs.,--,Southpaw,30,5,0,http://ufcstats.com/fighter-details/79ded75550efc139,Shinya Aoki,0.97,58%,1.25,58%,2.54,41%,60%,4.0
115,115,Josh,Appelt,The Juggernaut,"5' 10""",255 lbs.,"73.0""",Southpaw,15,6,0,http://ufcstats.com/fighter-details/0c1a04afca64e38f,Josh Appelt,1.35,40%,11.50,32%,0.00,0%,33%,0.0
116,116,Erik,Apple,,"6' 0""",170 lbs.,--,Orthodox,10,3,0,http://ufcstats.com/fighter-details/1ccff7f0cfdf85eb,Erik Apple,0.00,0%,0.54,81%,0.00,0%,0%,8.1
117,117,Kenji,Arai,,"5' 10""",145 lbs.,--,Southpaw,15,15,5,http://ufcstats.com/fighter-details/269d103c96a4c3a5,Kenji Arai,8.79,27%,10.29,39%,0.00,0%,0%,0.0
118,118,Romie,Aram,,"5' 10""",170 lbs.,--,Orthodox,7,1,0,http://ufcstats.com/fighter-details/73ef22f25d0f70e2,Romie Aram,1.80,35%,2.83,50%,2.50,62%,83%,0.0
119,119,Felipe,Arantes,Sertanejo,"5' 8""",135 lbs.,"73.0""",Orthodox,18,10,1,http://ufcstats.com/fighter-details/71002dbc1743b9a7,Felipe Arantes,2.37,45%,2.66,64%,0.93,47%,41%,0.7
120,120,Igor,Araujo,,"6' 1""",170 lbs.,"77.0""",Orthodox,25,8,0,http://ufcstats.com/fighter-details/dbea8c1cb327ab3d,Igor Araujo,1.52,42%,2.86,49%,0.86,15%,22%,0.6
121,121,Viviane,Araujo,Vivi,"5' 4""",125 lbs.,"68.0""",Orthodox,8,1,0,http://ufcstats.com/fighter-details/36541f1e6c5d4955,Viviane Araujo,4.96,48%,4.42,58%,2.91,100%,100%,0.0
122,122,Julio,Arce,,"5' 7""",145 lbs.,"70.0""",Southpaw,16,3,0,http://ufcstats.com/fighter-details/1291edf2d566a71a,Julio Arce,4.76,38%,2.68,69%,0.48,28%,93%,0.7
123,123,Art,Arciniega,King Arthur,"5' 8""",145 lbs.,--,,15,7,0,http://ufcstats.com/fighter-details/d25e39e74efb0a77,Art Arciniega,1.53,46%,2.73,51%,0.00,0%,50%,1.0
