,first_name,last_name,nick_name,height,weight,reach,stance,wins,losses,draws,fighter_url
1410,Bubba,Jenkins,The Highlight Kid,"5' 7""",145 lbs.,--,,11,4,0,http://ufcstats.com/fighter-details/5e841bb3752b6e86
1411,Adrienna,Jenkins,AJ,"5' 8""",145 lbs.,--,,19,6,0,http://ufcstats.com/fighter-details/dae85a6a83f53215
1412,Steve,Jennum,,"5' 10""",215 lbs.,--,Orthodox,2,3,0,http://ufcstats.com/fighter-details/ad047e3073a775f3
1413,Ryan,Jensen,,"6' 1""",185 lbs.,"76.0""",Orthodox,15,8,0,http://ufcstats.com/fighter-details/aae99701b21554e4
1414,Kyle,Jensen,,"5' 9""",170 lbs.,--,Orthodox,40,11,2,http://ufcstats.com/fighter-details/aec273fcb765330d
1415,Chanmi,Jeon,Ottogi Girl,"5' 5""",115 lbs.,"67.0""",Orthodox,5,2,0,http://ufcstats.com/fighter-details/24174a3f44ce8e03
1416,Maciej,Jewtuszko,Irokez,"6' 0""",155 lbs.,--,Southpaw,8,1,0,http://ufcstats.com/fighter-details/6b5b9be990774f0e
1417,Ronald,Jhun,The Machine Gun,"5' 11""",170 lbs.,--,Orthodox,24,24,2,http://ufcstats.com/fighter-details/b9e871af730f826c
1418,Gilbert,Jimenez,,--,155 lbs.,--,,8,12,1,http://ufcstats.com/fighter-details/59d36ddfcb27b7dc
1419,Art,Jimmerson,,"6' 1""",196 lbs.,--,Orthodox,0,1,0,http://ufcstats.com/fighter-details/a5c53b3ddb31cc7d
1420,Ryan,Jimmo,The Big Deal,"6' 1""",205 lbs.,"73.0""",Orthodox,19,5,0,http://ufcstats.com/fighter-details/bc3ec52ef70fc155
1421,Li,Jingliang,The Leech,"6' 0""",170 lbs.,"71.0""",Orthodox,16,5,0,http://ufcstats.com/fighter-details/e64b96c07d7ce999
1422,Sung Bin,Jo,Korean Falcon,"6' 0""",145 lbs.,"72.0""",Orthodox,9,1,0,http://ufcstats.com/fighter-details/6e0e977beb909837
1423,Carls,John De Tomas,CJ,"5' 5""",125 lbs.,"71.0""",Southpaw,8,2,0,http://ufcstats.com/fighter-details/2a4200ead401a9ce
1424,Phil,Johns,,"5' 2""",170 lbs.,--,Southpaw,30,13,1,http://ufcstats.com/fighter-details/a8fa0c4e95512806
1425,Brett,Johns,The Pikey,"5' 7""",135 lbs.,"71.0""",Orthodox,15,2,0,http://ufcstats.com/fighter-details/ec52462a1b41f714
1426,Miles,Johns,Chapo,"5' 7""",135 lbs.,"66.0""",Orthodox,8,0,0,http://ufcstats.com/fighter-details/46e0d677f91bacc0
1427,Anthony,Johnson,Rumble,"6' 2""",205 lbs.,"78.0""",Orthodox,22,6,0,http://ufcstats.com/fighter-details/365fee2da473b177
1428,DaMarques,Johnson,Darkness,"6' 1""",170 lbs.,"75.0""",Orthodox,18,12,0,http://ufcstats.com/fighter-details/322a56923b396b4d
1429,Devin,Johnson,,--,--,--,,1,1,1,http://ufcstats.com/fighter-details/22f4b6cb6b1bd7fd
1430,Travis,Johnson,,--,205 lbs.,--,,0,1,0,http://ufcstats.com/fighter-details/443835675e8fc6ca
1431,Ricky,Johnson,,"5' 8""",145 lbs.,--,Orthodox,5,4,0,http://ufcstats.com/fighter-details/fa2fca260beeb9c0
1432,Tony,Johnson,,"6' 2""",205 lbs.,"76.0""",Orthodox,7,2,0,http://ufcstats.com/fighter-details/3641a0d117e9bc6c
1433,Lavar,Johnson,Big,"6' 4""",240 lbs.,"82.0""",Orthodox,17,7,0,http://ufcstats.com/fighter-details/e6c5908910cc26e4
1434,Demetrious,Johnson,Mighty Mouse,"5' 3""",125 lbs.,"66.0""",Orthodox,27,3,1,http://ufcstats.com/fighter-details/8a304bfd6bf04a57
1435,Michael,Johnson,The Menace,"5' 10""",145 lbs.,"73.0""",Southpaw,20,14,0,http://ufcstats.com/fighter-details/511e82663651438d
1436,Deshaun,Johnson,,--,167 lbs.,--,,6,9,0,http://ufcstats.com/fighter-details/bf97ad31eae89429
1437,Kajan,Johnson,Ragin',"5' 11""",155 lbs.,"75.0""",Orthodox,23,14,1,http://ufcstats.com/fighter-details/633a45d131192ffe
1438,Dashon,Johnson,Flyboy,"5' 7""",145 lbs.,"70.0""",Orthodox,9,2,0,http://ufcstats.com/fighter-details/36207c58e854cae5
1439,Tim,Johnson,,"6' 3""",265 lbs.,"77.0""",Southpaw,12,4,0,http://ufcstats.com/fighter-details/cc900af167fbedfd
1440,Tony,Johnson,,"6' 1""",265 lbs.,--,,11,3,0,http://ufcstats.com/fighter-details/a45bab49951a45cd
1441,Jordan,Johnson,,"6' 2""",205 lbs.,"79.0""",Orthodox,10,0,0,http://ufcstats.com/fighter-details/99bcdf5eac39898f
1442,Taylor,Johnson,Tombstone,"6' 0""",185 lbs.,"74.0""",Switch,5,1,0,http://ufcstats.com/fighter-details/552b09cbf13b6328
1443,Brian,Johnston,,"6' 3""",230 lbs.,--,Orthodox,5,5,0,http://ufcstats.com/fighter-details/1c3f5e85b59ec710
1444,Liana,Jojua,Mgeli,"5' 4""",135 lbs.,--,,7,2,0,http://ufcstats.com/fighter-details/eebc23626e38f5dc
1445,Daniel,Jolly,The Werewolf of Texas,"6' 1""",205 lbs.,"75.0""",Orthodox,5,2,0,http://ufcstats.com/fighter-details/eeabcd4dc6619129
1446,Paul,Jones,,"5' 9""",199 lbs.,--,Orthodox,11,1,1,http://ufcstats.com/fighter-details/f341f9551ba744e2
1447,Jon,Jones,Bones,"6' 4""",205 lbs.,"84.0""",Orthodox,25,1,0,http://ufcstats.com/fighter-details/07f72a2a7591b409
1448,Nathan,Jones,,"6' 11""",345 lbs.,--,Orthodox,0,1,0,http://ufcstats.com/fighter-details/f54fb3b9c4228142
1449,Marcus,Jones,The Darkness,"6' 6""",265 lbs.,--,Orthodox,4,2,0,http://ufcstats.com/fighter-details/8fa2b06572365321
1450,Carlton,Jones,,"6' 1""",225 lbs.,--,Orthodox,1,4,0,http://ufcstats.com/fighter-details/f117c3e8c1aa7b9e
1451,Jesse,Jones,,"5' 9""",170 lbs.,--,,2,1,0,http://ufcstats.com/fighter-details/bc0f994de0521926
1452,Tito,Jones,,"5' 8""",145 lbs.,--,Southpaw,7,6,0,http://ufcstats.com/fighter-details/7b223a22a6c26868
1453,Roy,Jones,,--,205 lbs.,--,,6,2,0,http://ufcstats.com/fighter-details/be8dfcf0442812b1
1454,Justin,Jones,Lazybones,"5' 11""",185 lbs.,"78.0""",Orthodox,9,2,0,http://ufcstats.com/fighter-details/9b75954db8db2a08
1455,Ben,Jones,Blitzkrieg,--,185 lbs.,--,,4,4,0,http://ufcstats.com/fighter-details/329aff8e958a2997
1456,Victor,Jones,,--,145 lbs.,--,,1,3,0,http://ufcstats.com/fighter-details/04f0471f221db717
1457,Chris,Jones,Lionheart,"5' 9""",149 lbs.,--,,10,5,0,http://ufcstats.com/fighter-details/509319d35664369e
1458,Roshaun,Jones,,"5' 8""",135 lbs.,--,,2,6,0,http://ufcstats.com/fighter-details/8a9f54b9056b07f5
1459,Jamelle,Jones,The Beast,"6' 0""",205 lbs.,"75.0""",Orthodox,7,5,0,http://ufcstats.com/fighter-details/1dda22d0ac3d1271
1460,Antonio,Jones,Doomsday,"5' 11""",185 lbs.,--,Orthodox,7,1,0,http://ufcstats.com/fighter-details/f1fd494586ab8d5f
1461,Jocelyn,Jones-Lybarger,,"5' 7""",115 lbs.,"64.0""",Orthodox,6,4,0,http://ufcstats.com/fighter-details/1a98c9dbb7fc3959
1462,Kevin,Jordan,The Shaman,"6' 3""",245 lbs.,--,Orthodox,11,9,0,http://ufcstats.com/fighter-details/02e52b3a595f0786
1463,Joe,Jordan,,"5' 6""",155 lbs.,--,Orthodox,49,13,2,http://ufcstats.com/fighter-details/712c4db78b9373d1
1464,Shawn,Jordan,The Savage,"6' 0""",260 lbs.,"75.0""",Southpaw,18,7,0,http://ufcstats.com/fighter-details/ca2efc9d7d523c43
1465,Ivan,Jorge,Batman,"5' 9""",155 lbs.,"73.0""",Orthodox,26,5,0,http://ufcstats.com/fighter-details/19db7ac26308178f
1466,Scott,Jorgensen,Young Guns,"5' 5""",135 lbs.,"66.0""",Orthodox,15,12,0,http://ufcstats.com/fighter-details/0b64d0fed453ef7f
1467,Gareth,Joseph,,--,205 lbs.,--,,9,4,0,http://ufcstats.com/fighter-details/8ecb9f42da5ef5ac
1468,Dwight,Joseph,,"5' 6""",135 lbs.,--,Switch,9,1,0,http://ufcstats.com/fighter-details/34ca93f1791a5c50
1469,Jeff,Joslin,The Inferno,"6' 0""",170 lbs.,--,Orthodox,5,3,0,http://ufcstats.com/fighter-details/388abbf8832b5adf
1470,Krzysztof,Jotko,,"6' 1""",185 lbs.,"77.0""",Southpaw,21,4,0,http://ufcstats.com/fighter-details/4e06913c91da5200
1471,Alan,Jouban,Brahma,"6' 0""",170 lbs.,"73.0""",Southpaw,16,7,0,http://ufcstats.com/fighter-details/cf65d56b0755ed3b
1472,Charles,Jourdain,Air,"5' 9""",155 lbs.,"69.0""",Switch,9,2,0,http://ufcstats.com/fighter-details/f1d64ae34e088832
1473,Mike,Joy,,"5' 6""",155 lbs.,--,Southpaw,10,6,0,http://ufcstats.com/fighter-details/35080a7f406f9ab3
1474,Dustin,Joynson,,"6' 5""",236 lbs.,--,,5,0,0,http://ufcstats.com/fighter-details/791367e8c35cfb6a
1475,Tony,Juarez,,--,155 lbs.,--,,1,7,0,http://ufcstats.com/fighter-details/97f3692d5444a80a
1476,Jesse,Juarez,,"6' 1""",170 lbs.,--,Orthodox,16,8,0,http://ufcstats.com/fighter-details/cd039ff136d89ded
1477,Steve,Judson,,"5' 11""",230 lbs.,--,Orthodox,0,2,0,http://ufcstats.com/fighter-details/6ece1d2ab1bed31d
1478,Luke,Jumeau,The Jedi,"5' 11""",170 lbs.,"72.0""",Orthodox,13,4,0,http://ufcstats.com/fighter-details/4c288a2b250bb576
1479,Bu-Kyung,Jung,,"5' 7""",154 lbs.,--,Orthodox,0,4,0,http://ufcstats.com/fighter-details/b35d1650c78c2948
1480,Chan Sung,Jung,The Korean Zombie,"5' 7""",145 lbs.,"72.0""",Orthodox,15,5,0,http://ufcstats.com/fighter-details/c451d67c09c55418
1481,Young Sam,Jung,,"5' 8""",139 lbs.,--,Orthodox,4,4,0,http://ufcstats.com/fighter-details/13104eaed3ae96c3
1482,Da-Un,Jung,,"6' 4""",205 lbs.,--,Orthodox,11,2,0,http://ufcstats.com/fighter-details/74f9448b97bf8bec
1483,Scott,Junk,,"6' 1""",265 lbs.,--,Orthodox,8,3,1,http://ufcstats.com/fighter-details/ac70a4f1db1b8c40
1484,Myles,Jury,Fury,"5' 10""",145 lbs.,"73.0""",Orthodox,17,4,0,http://ufcstats.com/fighter-details/08e908ed6d18d6a0
1485,Cris,Cyborg,Cyborg,"5' 8""",145 lbs.,"68.0""",Orthodox,21,2,0,http://ufcstats.com/fighter-details/634bb0de2eb043b4
1486,Patrick,Kaase,Kamikaze,"5' 9""",185 lbs.,--,,1,2,0,http://ufcstats.com/fighter-details/b180f05acb24d430
1487,Emily,Peters Kagan,,"5' 3""",115 lbs.,"66.0""",,3,3,0,http://ufcstats.com/fighter-details/c1ea9d56cd953586
1488,Sirwan,Kakai,Zohan,"5' 5""",135 lbs.,"66.0""",Orthodox,12,3,0,http://ufcstats.com/fighter-details/2525a853486ee670
1489,Geza,Kalman,,"6' 1""",200 lbs.,--,,4,9,0,http://ufcstats.com/fighter-details/304fcd812f12c589
1490,Bryson,Kamaka,,"5' 11""",170 lbs.,--,Orthodox,12,18,1,http://ufcstats.com/fighter-details/9336e86cfd4ceaa1
1491,Martin,Kampmann,The Hitman,"6' 0""",170 lbs.,"72.0""",Orthodox,20,7,0,http://ufcstats.com/fighter-details/8b69839f3555a67b
1492,Bharat,Kandare,Daring,"5' 7""",135 lbs.,"72.0""",Orthodox,5,3,0,http://ufcstats.com/fighter-details/efd2b3e9bb7965a4
1493,Hiromitsu,Kanehara,,"5' 10""",200 lbs.,--,Orthodox,19,24,3,http://ufcstats.com/fighter-details/eda579d906cf0ca2
1494,Masanori,Kanehara,,"5' 7""",135 lbs.,"67.0""",Orthodox,25,13,5,http://ufcstats.com/fighter-details/f3a078277b3b8ff4
1495,Ken,Kaneko,,"6' 0""",161 lbs.,--,Orthodox,0,3,0,http://ufcstats.com/fighter-details/5345f86680378fc1
1496,Denis,Kang,,"5' 11""",185 lbs.,"77.0""",Orthodox,34,15,2,http://ufcstats.com/fighter-details/3c241737a6069b9f
1497,Kyung Ho,Kang,Mr. Perfect,"5' 9""",135 lbs.,"73.0""",Orthodox,16,8,0,http://ufcstats.com/fighter-details/a7897d200692ab64
1498,David,Kaplan,Diamond,"5' 7""",155 lbs.,--,Orthodox,3,4,0,http://ufcstats.com/fighter-details/5669b828e7e11329
1499,Kai,Kara-France,Don't Blink,"5' 5""",125 lbs.,"69.0""",Orthodox,19,7,0,http://ufcstats.com/fighter-details/853eb0dd5c0e2149
1500,Georgi,Karakhanyan,Insane,"5' 8""",145 lbs.,--,,24,4,1,http://ufcstats.com/fighter-details/43292ecf0e72c143
1501,Alex,Karalexis,The Assassin,"5' 8""",155 lbs.,"66.0""",Orthodox,10,6,0,http://ufcstats.com/fighter-details/e361e5c858af6ff1
1502,Impa,Kasanganay,Tshilobo,"5' 11""",185 lbs.,--,,2,0,0,http://ufcstats.com/fighter-details/257b0c8d6f199895
1503,Nadia,Kassem,187,"5' 5""",125 lbs.,"66.0""",Southpaw,5,1,0,http://ufcstats.com/fighter-details/6e7506127408aa9e
1504,Yusuke,Kasuya,,"5' 7""",155 lbs.,"67.0""",Southpaw,9,3,2,http://ufcstats.com/fighter-details/3058888c33149a53
1505,Tetsuji,Kato,,--,155 lbs.,--,Orthodox,20,10,0,http://ufcstats.com/fighter-details/542db012217ecb83
1506,Hisaki,Kato,,"6' 0""",185 lbs.,--,,8,2,0,http://ufcstats.com/fighter-details/ebf1c247b2cba375
1507,Brad,Katona,Superman,"5' 6""",135 lbs.,"64.0""",Orthodox,9,1,0,http://ufcstats.com/fighter-details/7b433309b0fd12aa
1508,Calvin,Kattar,The Boston Finisher,"5' 11""",145 lbs.,"72.0""",Orthodox,20,3,0,http://ufcstats.com/fighter-details/751de04455cfaac0
1509,Sarah,Kaufman,,"5' 5""",135 lbs.,"67.0""",Orthodox,17,4,0,http://ufcstats.com/fighter-details/36df8e119aec6175
1510,Yusuke,Kawaguchi,,"6' 0""",255 lbs.,--,,13,4,0,http://ufcstats.com/fighter-details/fa2320781bfe4f49
1511,Canaan,Kawaihae,,"6' 0""",145 lbs.,--,Southpaw,4,1,0,http://ufcstats.com/fighter-details/58d42b9e920b25fc
1512,Tatsuya,Kawajiri,The Crusher,"5' 7""",145 lbs.,"69.0""",Orthodox,35,10,2,http://ufcstats.com/fighter-details/80d918336163b80c
1513,Ryo,Kawamura,,"5' 11""",205 lbs.,--,Orthodox,12,6,4,http://ufcstats.com/fighter-details/9e91d7fd2720e241
1514,Doug,Kay,,--,--,--,,0,0,0,http://ufcstats.com/fighter-details/547c5611bd366988
1515,Julie,Kedzie,,"5' 5""",135 lbs.,"64.0""",Orthodox,16,13,0,http://ufcstats.com/fighter-details/981ab7a0576f76a0
1516,Ryan,Keenan,,"5' 10""",170 lbs.,--,,4,2,0,http://ufcstats.com/fighter-details/a72b20136239ba39
1517,CJ,Keith,,"6' 0""",155 lbs.,--,Orthodox,8,2,0,http://ufcstats.com/fighter-details/c0eecd851dbf3146
1518,Chris,Kelades,The Greek Assassin,"5' 7""",125 lbs.,"68.0""",Orthodox,9,3,0,http://ufcstats.com/fighter-details/56c9acc4e86046a2
1519,Brian,Kelleher,Boom,"5' 6""",135 lbs.,"66.0""",Switch,19,10,0,http://ufcstats.com/fighter-details/7be14eaed4c74856
1520,Mayana,Kellem,,"5' 5""",135 lbs.,--,Orthodox,7,1,0,http://ufcstats.com/fighter-details/c788481ae19e798d
1521,Paul,Kelly,,"5' 9""",155 lbs.,"70.0""",Orthodox,12,4,0,http://ufcstats.com/fighter-details/aac5ac38148f0528
1522,John,Kelly,,"5' 9""",170 lbs.,--,,5,4,0,http://ufcstats.com/fighter-details/ace83095105dd205
1523,Daniel,Kelly,,"6' 0""",185 lbs.,"70.0""",Southpaw,13,4,0,http://ufcstats.com/fighter-details/bdcbb976816fd256
1524,Song,Kenan,The Assassin,"6' 0""",170 lbs.,"71.0""",Orthodox,14,5,0,http://ufcstats.com/fighter-details/32490e80ddab1e5a
1525,Tim,Kennedy,,"5' 11""",185 lbs.,"74.0""",Orthodox,18,6,0,http://ufcstats.com/fighter-details/3c660c90d48fc80d
1526,Steve,Kennedy,The Steamrolla,"5' 11""",170 lbs.,"71.0""",Orthodox,22,8,0,http://ufcstats.com/fighter-details/185fb0200a4605e6
1527,Jeremy,Kennedy,JBC,"5' 11""",145 lbs.,"71.0""",Orthodox,11,1,0,http://ufcstats.com/fighter-details/68f6e96c5fa6e044
1528,Waylon,Kennell,,"6' 0""",185 lbs.,--,,4,2,0,http://ufcstats.com/fighter-details/9b8a73b59be8d786
1529,Casey,Kenney,,"5' 7""",135 lbs.,"68.0""",Southpaw,13,1,1,http://ufcstats.com/fighter-details/e7bba7ce4d6c7b07
1530,Aurelijus,Kerpe,,--,--,--,Orthodox,11,16,0,http://ufcstats.com/fighter-details/c1e4ae143cce7398
1531,Mark,Kerr,The Smashing Machine,"6' 3""",266 lbs.,--,Switch,15,11,0,http://ufcstats.com/fighter-details/a7b48e18ca27795d
1532,Will,Kerr,,"5' 10""",155 lbs.,"69.0""",Orthodox,9,3,0,http://ufcstats.com/fighter-details/ef61d9f5176b3200
1533,Ron,Keslar,,--,185 lbs.,--,,7,3,0,http://ufcstats.com/fighter-details/b84f34b425dfd24b
1534,Rustam,Khabilov,Tiger,"5' 8""",155 lbs.,"73.0""",Orthodox,23,4,0,http://ufcstats.com/fighter-details/9b7694d064a8a0ad
1535,Adam,Khaliev,,"6' 0""",170 lbs.,--,Orthodox,6,0,0,http://ufcstats.com/fighter-details/1aba18b5f15d4956
1536,Sergey,Khandozhko,Honda,"6' 1""",170 lbs.,"74.0""",Orthodox,27,5,1,http://ufcstats.com/fighter-details/90da09db03e41748
1537,Sergei,Kharitonov,,"6' 0""",245 lbs.,--,Orthodox,18,5,0,http://ufcstats.com/fighter-details/0693b2eab79198ea
1538,Alfred,Khashakyan,The Fearless,"5' 8""",135 lbs.,"70.0""",Orthodox,8,3,0,http://ufcstats.com/fighter-details/3929efe0c0a83d07
1539,Pannie,Kianzad,Banzai,"5' 7""",135 lbs.,"66.0""",,12,5,0,http://ufcstats.com/fighter-details/91dac5e69e28d5b5
1540,Akira,Kikuchi,,"5' 8""",155 lbs.,--,Orthodox,16,4,0,http://ufcstats.com/fighter-details/9c37681096c6f3a9
1541,Katsunori,Kikuno,,"5' 8""",145 lbs.,"66.0""",Orthodox,23,8,2,http://ufcstats.com/fighter-details/44470bfd9483c7ad
1542,Sanae,Kikuta,,"5' 9""",200 lbs.,--,Orthodox,30,7,3,http://ufcstats.com/fighter-details/e4bde462b043d3e1
1543,Jacob,Kilburn,The Killer,"5' 9""",145 lbs.,"71.0""",Orthodox,6,1,0,http://ufcstats.com/fighter-details/637bd06c32219f0b
1544,Dong Hyun,Kim,Stun Gun,"6' 2""",170 lbs.,"76.0""",Southpaw,22,4,1,http://ufcstats.com/fighter-details/9bcf8603ceb25680
1545,Jin Oh,Kim,,"5' 9""",205 lbs.,--,Orthodox,0,3,0,http://ufcstats.com/fighter-details/8d04923f2db59b7f
1546,Dae Won,Kim,,"5' 11""",180 lbs.,--,Orthodox,11,6,0,http://ufcstats.com/fighter-details/354808cf38d9d73c
1547,Jong Wang,Kim,,"6' 1""",240 lbs.,--,,11,21,0,http://ufcstats.com/fighter-details/380e8b023290d091
1548,Jong Won,Kim,,"5' 7""",139 lbs.,--,Orthodox,0,1,0,http://ufcstats.com/fighter-details/9e0f28d1f639ad73
1549,Min Soo,Kim,,"6' 1""",255 lbs.,--,Southpaw,3,7,0,http://ufcstats.com/fighter-details/831b937811804dad
1550,Jong Man,Kim,Special Force,"5' 7""",139 lbs.,--,Orthodox,22,11,3,http://ufcstats.com/fighter-details/dba230fe33011201
1551,Ji Yeon,Kim,Firefist,"5' 7""",125 lbs.,"72.0""",Orthodox,8,2,2,http://ufcstats.com/fighter-details/a20f234df70f2182
1552,Jeremy,Kimball,Grizzly,"6' 0""",205 lbs.,"72.0""",Switch,15,8,0,http://ufcstats.com/fighter-details/917a5cb9821df261
1553,Rob,Kimmons,The Rosedale Reaper,"5' 10""",185 lbs.,"73.0""",Orthodox,24,8,0,http://ufcstats.com/fighter-details/054defd5420a551f
1554,Dustin,Kimura,The Diamond,"5' 7""",135 lbs.,"71.0""",Orthodox,12,3,0,http://ufcstats.com/fighter-details/fe91d254db77a7fc
1555,Taiei,Kin,,"5' 11""",185 lbs.,--,Orthodox,4,3,0,http://ufcstats.com/fighter-details/c7ac79839e86ce33
1556,Mike,King,,"6' 3""",185 lbs.,"75.0""",,5,1,0,http://ufcstats.com/fighter-details/564c2f5f9eb45d67
1557,Kyle,Kingsbury,Kingsbu,"6' 4""",205 lbs.,"76.0""",Orthodox,11,6,0,http://ufcstats.com/fighter-details/b959e8c7fd8390d2
1558,Kamuela,Kirk,The Jawaiian,"5' 10""",145 lbs.,"75.0""",Switch,9,2,0,http://ufcstats.com/fighter-details/c7d7fda69ec410d3
1559,Yurij,Kiseliov,Playboy,"5' 8""",185 lbs.,--,Orthodox,5,3,0,http://ufcstats.com/fighter-details/51d2aaaca56e5b40
1560,Justine,Kish,,"5' 5""",125 lbs.,"64.0""",Orthodox,6,2,0,http://ufcstats.com/fighter-details/928ae2e5b5f7a9ec
1561,Koji,Kitao,,"6' 7""",350 lbs.,--,Southpaw,1,2,0,http://ufcstats.com/fighter-details/2a6f8136da1e52c0
1562,Mitsuharu,Kitao,,"6' 7""",390 lbs.,--,,1,2,0,http://ufcstats.com/fighter-details/4d636c3aa1105950
1563,Satoru,Kitaoka,,"5' 6""",154 lbs.,--,,29,11,9,http://ufcstats.com/fighter-details/e2ac5bb645f33088
1564,Seth,Kleinbeck,Mass Destruction,"6' 2""",185 lbs.,--,,8,4,0,http://ufcstats.com/fighter-details/8ad022dd81224f61
1565,Stefan,Klever,,--,185 lbs.,--,Orthodox,6,1,0,http://ufcstats.com/fighter-details/bc3876891e155bb5
1566,Drakkar,Klose,,"5' 9""",155 lbs.,"70.0""",Orthodox,11,1,1,http://ufcstats.com/fighter-details/7cbf7c78d3b34218
1567,Michael,Knaap,Hammer,"6' 2""",220 lbs.,--,Orthodox,18,20,3,http://ufcstats.com/fighter-details/02f0e04acf102ea9
1568,Kevin,Knabjian,,"5' 10""",170 lbs.,--,Orthodox,10,6,1,http://ufcstats.com/fighter-details/1fac46d466abd5b8
1569,Jason,Knight,The Kid,"5' 10""",145 lbs.,"71.0""",Orthodox,20,6,0,http://ufcstats.com/fighter-details/bb1a2cdad6ff34db
1570,William,Knight,Knightmare,"5' 10""",205 lbs.,--,Orthodox,4,0,0,http://ufcstats.com/fighter-details/5da33b8fbfa5ee95
1571,Isao,Kobayashi,,"5' 8""",145 lbs.,--,,21,4,4,http://ufcstats.com/fighter-details/a02652d063ef5baa
1572,Kelly,Kobold,Blood Red,"5' 6""",135 lbs.,--,Orthodox,17,3,1,http://ufcstats.com/fighter-details/c398235fcaf8d71d
1573,Erik,Koch,Phoenix,"5' 10""",170 lbs.,"71.0""",Southpaw,16,6,0,http://ufcstats.com/fighter-details/99bd87a300079ed9
1574,Sokun,Koh,,"6' 1""",205 lbs.,--,,4,1,0,http://ufcstats.com/fighter-details/6d8ef8706781c49e
1575,Shingo,Kohara,,"5' 6""",135 lbs.,--,,1,0,0,http://ufcstats.com/fighter-details/44c233770075cea1
1576,Brad,Kohler,,"5' 9""",220 lbs.,--,Orthodox,11,14,0,http://ufcstats.com/fighter-details/13c4313ed0f744f3
1577,Charlie,Kohler,,"5' 9""",155 lbs.,--,Orthodox,8,4,1,http://ufcstats.com/fighter-details/5717efc6f271cd52
1578,Tsuyoshi,Kohsaka,TK,"5' 11""",225 lbs.,--,Orthodox,26,18,2,http://ufcstats.com/fighter-details/b76ed59283d3559c
1579,John,Kolosci,,"5' 11""",185 lbs.,--,Orthodox,15,8,0,http://ufcstats.com/fighter-details/5f6038bcdb95e3e4
1580,Yuki,Kondo,,"5' 11""",183 lbs.,--,Southpaw,53,26,8,http://ufcstats.com/fighter-details/1fe7adb23b3eedfb
1581,Syuri,Kondo,,"5' 4""",115 lbs.,"66.0""",Orthodox,6,3,0,http://ufcstats.com/fighter-details/a851c35f58199231
1582,Cheick,Kongo,,"6' 4""",240 lbs.,"82.0""",Orthodox,29,9,2,http://ufcstats.com/fighter-details/1eacf73d6a0055dc
1583,Andrei,Kopylov,,"6' 2""",265 lbs.,--,Orthodox,5,10,0,http://ufcstats.com/fighter-details/dd39f1ca787a3d9d
1584,Roman,Kopylov,,"6' 0""",185 lbs.,--,,8,0,0,http://ufcstats.com/fighter-details/9d83f6da776ff7d6
1585,Andrey,Koreshkov,Spartan,"6' 0""",170 lbs.,--,,19,2,0,http://ufcstats.com/fighter-details/aee885b8ca29ab4f
1586,Josh,Koscheck,,"5' 10""",170 lbs.,"73.0""",Orthodox,19,10,0,http://ufcstats.com/fighter-details/dd37fd509af89f15
1587,Naoyuki,Kotani,,"5' 8""",155 lbs.,"66.0""",Southpaw,33,13,7,http://ufcstats.com/fighter-details/bc8f6b42767e28df
1588,Ilya,Kotau,,--,170 lbs.,--,,1,2,0,http://ufcstats.com/fighter-details/a68d57ae177a5815
1589,Iouri,Kotchkine,,"6' 2""",235 lbs.,--,Orthodox,7,4,1,http://ufcstats.com/fighter-details/c6becb722706c7d8
1590,Matt,Kovacs,300,"6' 0""",244 lbs.,--,Orthodox,6,7,0,http://ufcstats.com/fighter-details/8fbcd82bf7f352bf
1591,Marcus,Kowal,,--,135 lbs.,--,,3,1,1,http://ufcstats.com/fighter-details/ad0e42800a0d8977
1592,Karolina,Kowalkiewicz,,"5' 3""",115 lbs.,"64.0""",Orthodox,13,5,0,http://ufcstats.com/fighter-details/d7c3816669784109
1593,Steve,Kozola,,--,155 lbs.,--,,8,0,0,http://ufcstats.com/fighter-details/fc36e2352dccf2a4
1594,Derrick,Krantz,D-Rock,"5' 10""",170 lbs.,"72.0""",Orthodox,24,11,0,http://ufcstats.com/fighter-details/714e1e0681ddb703
1595,James,Krause,The,"6' 2""",170 lbs.,"73.0""",Orthodox,25,8,0,http://ufcstats.com/fighter-details/8f6a18831a120817
1596,Pascal,Krauss,Panzer,"6' 1""",170 lbs.,"72.0""",Orthodox,11,2,0,http://ufcstats.com/fighter-details/a01e84abefd85ec0
1597,Rene,Kronvold,,"5' 8""",170 lbs.,--,Orthodox,5,1,0,http://ufcstats.com/fighter-details/db05271715bb4874
1598,Jorgen,Kruth,The Last Viking,"6' 2""",205 lbs.,--,,5,0,0,http://ufcstats.com/fighter-details/6071d786f6187810
1599,Nikita,Krylov,The Miner,"6' 3""",205 lbs.,"77.0""",Orthodox,26,6,0,http://ufcstats.com/fighter-details/1091d4d957141094
1600,Junya,Kudo,,--,135 lbs.,--,Orthodox,8,4,2,http://ufcstats.com/fighter-details/487c170da059857d
1601,John,Kuhner,,--,170 lbs.,--,,1,2,0,http://ufcstats.com/fighter-details/a272656ad662ac53
1602,Michael,Kuiper,,"6' 0""",185 lbs.,"73.0""",Orthodox,12,3,0,http://ufcstats.com/fighter-details/b7f38813485745da
1603,Anton,Kuivanen,,"5' 8""",155 lbs.,"72.0""",Orthodox,17,6,0,http://ufcstats.com/fighter-details/706f8e2b34e8e18b
