,first_name,last_name,nick_name,height,weight,reach,stance,wins,losses,draws,fighter_url
1090,Royce,Gracie,,"6' 1""",175 lbs.,--,Southpaw,14,2,3,http://ufcstats.com/fighter-details/429e7d3725852ce9
1091,Crosley,Gracie,,"5' 9""",190 lbs.,--,Orthodox,2,2,0,http://ufcstats.com/fighter-details/52d92050a046bc17
1092,Daniel,Gracie,,"6' 2""",225 lbs.,--,Orthodox,5,4,1,http://ufcstats.com/fighter-details/82d6a9ae41aac3f7
1093,Ralph,Gracie,,"5' 9""",183 lbs.,--,Orthodox,6,1,0,http://ufcstats.com/fighter-details/a9c45a8b21eabadc
1094,Renzo,Gracie,,"5' 10""",185 lbs.,--,Orthodox,14,6,1,http://ufcstats.com/fighter-details/aae0897825336b1a
1095,Rickson,Gracie,,"5' 10""",185 lbs.,--,Switch,11,0,0,http://ufcstats.com/fighter-details/194fc025f9355db6
1096,Rodrigo,Gracie,,"6' 0""",183 lbs.,--,Orthodox,6,2,1,http://ufcstats.com/fighter-details/36877f0e62b25b96
1097,Royler,Gracie,,"5' 8""",150 lbs.,--,Southpaw,5,5,1,http://ufcstats.com/fighter-details/b807814d977682eb
1098,Ryan,Gracie,,"5' 9""",200 lbs.,--,Orthodox,5,2,0,http://ufcstats.com/fighter-details/0c3838c8f7c620c2
1099,Ralek,Gracie,,"6' 2""",210 lbs.,--,Orthodox,3,1,0,http://ufcstats.com/fighter-details/84283233ec42be5f
1100,Rolles,Gracie,,"6' 4""",242 lbs.,--,Orthodox,5,1,0,http://ufcstats.com/fighter-details/e4a9dbade7c7e1a7
1101,Cesar,Gracie,,"5' 10""",181 lbs.,--,Orthodox,0,1,0,http://ufcstats.com/fighter-details/079488710f012779
1102,Roger,Gracie,,"6' 4""",185 lbs.,"79.0""",Orthodox,6,2,0,http://ufcstats.com/fighter-details/a6bbd3df469c6bea
1103,Igor,Gracie,,"5' 11""",170 lbs.,--,,4,2,0,http://ufcstats.com/fighter-details/722b870449243083
1104,Neiman,Gracie,,"6' 0""",170 lbs.,--,,6,0,0,http://ufcstats.com/fighter-details/12d855d12a624da2
1105,Kron,Gracie,,"5' 9""",145 lbs.,"70.0""",Southpaw,5,0,0,http://ufcstats.com/fighter-details/242d36d241b43c12
1106,Steven,Graham,,"6' 1""",290 lbs.,--,Orthodox,2,1,0,http://ufcstats.com/fighter-details/3e514f437c51ce0a
1107,Scott,Graham,,"6' 4""",185 lbs.,--,Orthodox,3,1,0,http://ufcstats.com/fighter-details/6e4acc2c115215b5
1108,Miranda,Granger,Danger,"5' 7""",125 lbs.,"68.0""",Orthodox,7,0,0,http://ufcstats.com/fighter-details/7559395ad833c074
